"ID","datetime_UTC","release_datetime_UTC","Healed.Scars","X_UTM","Y_UTM"
17007,"2017-08-16 02:00:36","2017-08-06 01:24:00",TRUE,513167.365196332,8025915.87261596
17007,"2017-08-16 03:00:36","2017-08-06 01:24:00",TRUE,515453.896103155,8028290.35330177
17007,"2017-08-16 04:00:36","2017-08-06 01:24:00",TRUE,516089.339236615,8029240.02476327
17007,"2017-08-16 05:00:36","2017-08-06 01:24:00",TRUE,519744.960600092,8031272.3671153
17007,"2017-08-16 06:00:36","2017-08-06 01:24:00",TRUE,521979.769372374,8034418.831738
17007,"2017-08-16 07:00:36","2017-08-06 01:24:00",TRUE,523856.238921683,8037479.7424518
17007,"2017-08-16 08:00:36","2017-08-06 01:24:00",TRUE,523392.801881486,8041625.78369556
17007,"2017-08-16 09:00:36","2017-08-06 01:24:00",TRUE,524723.580080922,8044591.53850162
17007,"2017-08-16 10:00:36","2017-08-06 01:24:00",TRUE,523286.07403907,8048952.52886578
17007,"2017-08-16 11:00:36","2017-08-06 01:24:00",TRUE,526811.148188057,8053207.3804829
17007,"2017-08-16 12:00:36","2017-08-06 01:24:00",TRUE,529845.816151009,8056216.08980256
17007,"2017-08-16 13:00:36","2017-08-06 01:24:00",TRUE,531125.407165055,8058901.24907265
17007,"2017-08-16 14:00:36","2017-08-06 01:24:00",TRUE,532442.624289796,8057952.7753466
17007,"2017-08-16 15:00:36","2017-08-06 01:24:00",TRUE,532757.331010809,8056221.38883943
17007,"2017-08-16 16:00:36","2017-08-06 01:24:00",TRUE,533308.363671228,8056563.84449465
17007,"2017-08-16 17:00:36","2017-08-06 01:24:00",TRUE,534241.679155092,8055966.64404435
17007,"2017-08-16 18:00:36","2017-08-06 01:24:00",TRUE,537592.380687971,8054989.55623565
17007,"2017-08-16 19:00:36","2017-08-06 01:24:00",TRUE,539120.055046057,8054949.37032678
17007,"2017-08-16 20:00:36","2017-08-06 01:24:00",TRUE,540206.610701055,8054182.15672184
17007,"2017-08-16 21:00:36","2017-08-06 01:24:00",TRUE,541605.811314453,8053361.81799401
17007,"2017-08-17 00:02:43","2017-08-06 01:24:00",TRUE,546883.040810085,8049333.718334
17007,"2017-08-17 01:02:43","2017-08-06 01:24:00",TRUE,540965.576488531,8045468.56198626
17007,"2017-08-17 02:02:43","2017-08-06 01:24:00",TRUE,533626.966208231,8046748.3121472
17007,"2017-08-17 03:02:43","2017-08-06 01:24:00",TRUE,527330.360969376,8047024.61742865
17007,"2017-08-17 04:02:43","2017-08-06 01:24:00",TRUE,520994.027301981,8040274.25018462
17007,"2017-08-17 05:02:43","2017-08-06 01:24:00",TRUE,516845.593399907,8033353.74717178
17007,"2017-08-17 06:02:43","2017-08-06 01:24:00",TRUE,512397.022713584,8028252.06626598
17007,"2017-08-17 07:02:43","2017-08-06 01:24:00",TRUE,509367.197515284,8023522.95533391
17007,"2017-08-17 08:02:43","2017-08-06 01:24:00",TRUE,506412.422271016,8018176.07423065
17007,"2017-08-17 09:02:43","2017-08-06 01:24:00",TRUE,505879.46488975,8013382.19654946
