"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","gamma_shape_sim","gamma_scale_sim","vonMises_kappa_sim","gamma_shape_est","gamma_scale_est","vonMises_kappa_est","converg.mess","AICc_baseline","AICc_new","deltaAICc"
49,0.5,0.370991930522653,0.101404388907763,0.172242980389144,0.569740880656162,TRUE,1,1,1,0.973047546728767,1.02938317194901,1.0015802451089,0,67366.4697995166,67368.0855138283,1.61571431170159
50,0.5,0.322840042247783,0.100792703155729,0.125289974158117,0.520390110337448,TRUE,1,1,1,1.0152168784265,0.987338032714644,0.969857002790179,0,67369.5480047977,67371.546860234,1.99885543629352
51,0.5,0.493701421723077,0.0998352973055173,0.298027834618414,0.689375008827739,TRUE,1,1,1,0.988956978868753,1.00983236295622,1.03932879790974,0,67355.1984877484,67356.6434368791,1.44494913065864
52,0.5,0.5737965034743,0.105218976773963,0.367571098507176,0.780021908441424,TRUE,1,1,1,0.998055520932672,0.983731663474853,0.982877130985892,0,67349.10598489,67349.7009624171,0.594977527129231
53,0.5,0.432250554711094,0.10130062123203,0.233704985484783,0.630796123937406,TRUE,1,1,1,0.987173067855102,1.01801431984407,1.01732829047955,0,67361.7143972252,67362.4887299419,0.774332716624485
54,0.5,0.742656736729661,0.103494549990076,0.539811146152931,0.945502327306391,FALSE,1,1,1,1.0000252434602,0.977677888802324,0.974889740950573,0,67328.1765552556,67330.1360435028,1.95948824724474
55,0.5,0.629167577443074,0.101841390800783,0.42956211933807,0.828773035548079,TRUE,1,1,1,1.02595358620412,0.995807715352475,0.988090565673881,0,67341.6289590673,67343.6291456073,2.00018653998268
56,0.5,0.581571010453269,0.114209337320556,0.357724822606793,0.805417198299746,TRUE,1,1,1,0.998740583595499,0.997081777629227,0.994502750118407,0,67346.5974990632,67348.5630246474,1.96552558423718
57,0.5,0.656778555126313,0.130451019066666,0.401099256009099,0.912457854243526,TRUE,1,1,1,1.00394282250268,1.00105457118819,1.04087939006719,0,67336.9260410723,67338.6552490788,1.72920800645079
58,0.5,0.422199518296636,0.103420000799187,0.219500041449126,0.624898995144145,TRUE,1,1,1,1.01435535852945,1.01011363549456,1.04724128875574,0,67363.1931545486,67360.6169498738,-2.57620467485685
59,0.5,0.50327761049071,0.102380145626268,0.302616212331259,0.703939008650162,TRUE,1,1,1,1.02802791111595,0.964766770046288,0.967195203609474,0,67355.7652172106,67357.7649034571,1.99968624651956
60,0.5,0.487402036606758,0.102057490257984,0.287373031348562,0.687431041864955,TRUE,1,1,1,0.959447368660957,1.05414620780249,1.04133432690189,0,67357.044440303,67358.5778647922,1.53342448927287
61,0.5,0.432612936136254,0.110983607107174,0.215089063331851,0.650136808940658,TRUE,1,1,1,1.03968477829984,0.997518778646248,1.03325457397489,0,67360.9051634574,67362.2558053093,1.35064185183728
62,0.5,0.405355784068327,0.105860748243234,0.197872530135127,0.612839038001527,TRUE,1,1,1,0.9962189497663,1.00889753446113,0.968663046712163,0,67363.4030793752,67365.364034524,1.96095514879562
63,0.5,0.785740497907124,0.10534545940189,0.579267191544594,0.992213804269653,FALSE,1,1,1,1.00813690605081,0.998888663565717,1.0489475294284,0,67323.9617520646,67324.5629747066,0.601222641969798
64,0.5,0.506368852301635,0.111355917903833,0.288115263744722,0.724622440858547,TRUE,1,1,1,0.985746134692957,0.98946968834093,0.99385225546097,0,67355.2501687405,67357.0953201646,1.84515142416058
65,0.5,0.601770517066673,0.104902568405108,0.396165261106912,0.807375773026433,TRUE,1,1,1,1.02048396755956,0.962955455401886,1.00041204764409,0,67346.6807502917,67348.6791536488,1.99840335718181
66,0.5,0.494562904107996,0.102952115249707,0.292780466086354,0.696345342129638,TRUE,1,1,1,0.966516112577849,1.04751910955167,1.01228288516951,0,67356.7716344569,67357.9987474877,1.22711303083634
67,0.5,0.649495046326607,0.103257101983968,0.44711484529005,0.851875247363164,TRUE,1,1,1,0.990782100960973,0.976297402403427,0.962168420985946,0,67340.1943864827,67338.0795886237,-2.114797858987
68,0.5,0.551799200301175,0.10455199835313,0.346881049017348,0.756717351585001,TRUE,1,1,1,0.990540176922252,1.00484655812697,1.01165790315717,0,67352.0377544255,67354.0145057135,1.97675128794799
69,0.5,0.60311627001032,0.100494279076798,0.406151102367478,0.800081437653162,TRUE,1,1,1,0.976956847676743,1.023965355824,0.987539591608994,0,67343.6696844394,67345.6372399097,1.96755547028442
70,0.5,0.514945516412572,0.117034309480606,0.28556248487507,0.744328547950074,TRUE,1,1,1,0.999947915557422,0.99843030932055,0.99542380454095,0,67354.1895350995,67352.9627446267,-1.22679047277779
71,0.5,0.52264054337577,0.101219416811888,0.324254131888322,0.721026954863219,TRUE,1,1,1,0.978479843541348,0.986225857850222,1.02763284509842,0,67353.1478205125,67354.8315592197,1.68373870721553
72,0.5,0.478301437181762,0.104738213729797,0.273018310466301,0.683584563897222,TRUE,1,1,1,0.996064969179862,0.956224931319294,1.00116970892604,0,67359.034342004,67360.1341618569,1.09981985285413
73,0.5,0.46295917203488,0.104060806941415,0.259003738227532,0.666914605842229,TRUE,1,1,1,1.01549424682347,0.963215478293393,0.983306918711683,0,67358.8794431519,67360.5124788654,1.63303571341385
74,0.5,0.499755055052309,0.101470905414289,0.300875734961631,0.698634375142986,TRUE,1,1,1,0.98054636056217,1.02972640855076,1.03249565072744,0,67355.1240129168,67354.5221499969,-0.601862919837004
75,0.5,0.582339331489246,0.118031855233825,0.351001146202503,0.813677516775988,TRUE,1,1,1,0.991237268909604,1.04366736566227,0.980725120491718,0,67348.0722784941,67350.040056546,1.96777805191232
76,0.5,0.57653254629915,0.102586118016781,0.375467449672483,0.777597642925816,TRUE,1,1,1,1.00121315425301,0.967767630785312,1.00325141276367,0,67348.255750208,67348.5584488392,0.302698631188832
77,0.5,0.330610334680133,0.103792632835004,0.127180512462936,0.534040156897331,TRUE,1,1,1,1.01840263803423,0.97618227877878,1.06831901392879,0,67369.2410318852,67371.2368233322,1.99579144702875
78,0.5,0.583499226481971,0.102757048055836,0.382099113134882,0.784899339829061,TRUE,1,1,1,0.997297384643889,0.992158151941885,0.962478519347278,0,67347.466222225,67349.3334608302,1.86723860514758
79,0.5,0.471957726090879,0.101800906414892,0.272431615924159,0.671483836257599,TRUE,1,1,1,1.00836342036505,1.00157365732189,1.02007238544483,0,67358.4007946948,67360.2616278342,1.86083313942072
80,0.5,0.518144867534176,0.127043146239324,0.269144876422445,0.767144858645907,TRUE,1,1,1,0.991988524572772,0.979129408751146,1.01866772529043,0,67353.2909693884,67354.0639900904,0.773020702021313
81,0.5,0.315791818982787,0.108666578181179,0.10280923942447,0.528774398541103,TRUE,1,1,1,0.985497163451244,1.02036945996906,1.03454111736747,0,67370.1780267996,67370.3187631381,0.140736338464194
82,0.5,0.588156543311058,0.130185707936226,0.332997244454206,0.843315842167911,TRUE,1,1,1,0.998631580628478,1.00808762750463,0.981571563945408,0,67341.6446337359,67343.6179306875,1.97329695164808
83,0.5,0.586228765288803,0.133815904288639,0.323954412324411,0.848503118253194,TRUE,1,1,1,0.990640000191298,1.00364374284058,1.02519945727112,0,67342.4380388339,67343.9821575535,1.54411871958291
84,0.5,0.610015187853563,0.0995354157759697,0.414929357746443,0.805101017960683,TRUE,1,1,1,0.993737787261317,1.03760740118723,0.979797829952948,0,67342.2037215533,67343.1711486766,0.967427123337984
85,0.5,0.638704759450942,0.106911154275398,0.429162747525557,0.848246771376327,TRUE,1,1,1,0.950710977917615,1.02130618806251,1.02135341879937,0,67342.3407127641,67344.277983726,1.93727096189104
86,0.5,0.505759271937828,0.108643061164274,0.292822784885668,0.718695758989987,TRUE,1,1,1,1.0235168665335,0.966782983457189,1.00199047930596,0,67355.3470551736,67356.0177816195,0.670726445867331
87,0.5,0.537853659571346,0.104944780992607,0.332165668460393,0.7435416506823,TRUE,1,1,1,1.00611579223918,1.03460333145168,1.04651802993809,0,67351.9831160383,67352.4870437751,0.503927736805053
88,0.5,0.659041956254751,0.102309664433548,0.458518698694618,0.859565213814884,TRUE,1,1,1,1.00937717609455,0.961647560075274,1.00675819253714,0,67338.2278255086,67340.2174698977,1.98964438906114
89,0.5,0.481692001299749,0.124446465073797,0.237781411751784,0.725602590847713,TRUE,1,1,1,0.978556009424597,1.01967598034526,0.98681919657998,0,67355.8356099154,67357.7644869479,1.92887703247834
90,0.5,0.611345652231119,0.103812122308597,0.407877631347602,0.814813673114636,TRUE,1,1,1,0.986201639053609,0.997442204975532,0.937588954747174,0,67344.5610045406,67344.9096751772,0.348670636609313
91,0.5,0.642695957309257,0.101450628202446,0.4438563798235,0.841535534795014,TRUE,1,1,1,0.998329658622165,1.01063993336757,1.01914237582628,0,67339.7255468516,67341.7217113647,1.99616451311158
92,0.5,0.346492331144627,0.0992615442821034,0.151943279301877,0.541041382987377,TRUE,1,1,1,1.00681129808174,1.00375154061529,0.952834194668577,0,67367.7684710052,67369.7016652616,1.93319425646041
93,0.5,0.616710290281835,0.102322623505677,0.416161633407057,0.817258947156613,TRUE,1,1,1,0.994486199813303,0.9831050675167,1.02308892973532,0,67343.5575317736,67345.22771963,1.67018785641994
94,0.5,0.415131422713338,0.116238855265266,0.187307452789252,0.642955392637423,TRUE,1,1,1,0.991159829912789,1.02950916943286,1.07028938517966,0,67363.2423624827,67364.4030704467,1.16070796393615
95,0.5,0.577097536396155,0.120803942987046,0.340326158951114,0.813868913841196,TRUE,1,1,1,1.00877584931465,0.962440654487586,1.01228323246777,0,67348.5963542556,67350.2457098911,1.64935563549807
96,0.5,0.404129173905085,0.10490362896887,0.198521839278547,0.609736508531623,TRUE,1,1,1,0.977016884887809,1.01501622038664,1.0130952442142,0,67364.2037841567,67362.208463644,-1.99532051272399
97,0.5,0.491234919040939,0.101784670805018,0.291740630084838,0.690729207997039,TRUE,1,1,1,0.972177965247177,1.01627614418821,0.979512510570674,0,67356.5154422158,67358.1550927405,1.63965052466665
98,0.5,0.666271088583844,0.101015640163778,0.468284071987582,0.864258105180107,TRUE,1,1,1,1.02587430749175,0.97948210707034,1.00075848674096,0,67336.3554705736,67338.2465038921,1.89103331854858
99,0.5,0.577346063686211,0.115753292635279,0.350473779029138,0.804218348343283,TRUE,1,1,1,0.990152293456756,0.992025572210579,1.03600608991646,0,67346.819243154,67348.8015317208,1.98228856684
100,0.5,0.659829448742496,0.129120504559606,0.406757910140029,0.912900987344963,TRUE,1,1,1,1.02235719217439,0.965528750524003,1.05586564187971,0,67336.7630680827,67337.8709853141,1.10791723133298
