"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_est_re","beta_cov_SE_re","beta_cov_95LCI_re","beta_cov_95UCI_re","beta_cov_in_95CI_re","beta_cov_proxy_est_re","beta_cov_proxy_SE_re","beta_cov_proxy_95LCI_re","beta_cov_proxy_95UCI_re","beta_cov_proxy_in_95CI_re","beta_cov_est_no_re","beta_cov_SE_no_re","beta_cov_95LCI_no_re","beta_cov_95UCI_no_re","beta_cov_in_95CI_no_re","beta_cov_proxy_est_no_re","beta_cov_proxy_SE_no_re","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_re","converg_mess_no_re","beta_cov_sim","beta_cov_proxy_sim","beta_sim_factor","proxy_factor","beta_cov_proxy_95LCI_no_re","beta_cov_proxy_95UCI_no_re"
12,10,15,25,12,0.480098721376773,0.163068769490054,0.160489806173003,0.799707636580543,NA,1.06733519938016,0.201559204447765,0.672286417909993,1.46238398085032,NA,0.380114934345964,0.18903676448996,0.00960968419166158,0.750620184500267,NA,0.650647517351237,0.187296619638432,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.283552888433814,1.01774214626866
13,10,15,25,13,0.806343277990715,0.185054514486541,0.443643094420548,1.16904346156088,NA,0.921844355584282,0.225802402139736,0.479279779767769,1.36440893140079,NA,0.710326627564904,0.201225602581168,0.315931693738444,1.10472156139136,NA,0.587387096361793,0.200991788815737,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.193450429094669,0.981323763628917
14,10,15,25,14,0.590726852818723,0.190315659438197,0.217715014625867,0.963738691011579,NA,0.824598223974416,0.232511536479239,0.368883986485037,1.28031246146379,NA,0.507631476399353,0.194172860695552,0.127059662660958,0.888203290137748,NA,0.662491879236789,0.217600995526137,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.236001765005499,1.08898199346808
15,10,15,25,15,0.539163445461851,0.182096955942102,0.182259970120954,0.896066920802747,NA,1.1951624204307,0.227462553349414,0.749344008034323,1.64098083282707,NA,0.374448829990074,0.181287006700552,0.0191328259919195,0.729764833988228,NA,0.929979892623888,0.208215492731954,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.521885025845996,1.33807475940178
16,10,15,25,16,0.483820145603026,0.174656896581213,0.141498918652313,0.82614137255374,NA,1.32153645783331,0.221008392798602,0.888367967666972,1.75470494799965,NA,0.270211066219689,0.177936460469793,-0.0785379878376404,0.618960120277019,NA,0.966993970427782,0.200526938252624,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.573968393522551,1.36001954733301
17,10,15,25,17,0.323470140040621,0.176635564050967,-0.0227292038881927,0.669669483969434,NA,0.978232202030218,0.212139622635528,0.562446181970666,1.39401822208977,NA,0.457039917024256,0.127671390493376,0.206808589801091,0.707271244247422,NA,0.78371984569384,0.165346414346766,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.459646828601341,1.10779286278634
18,10,15,25,18,0.0570509349841737,0.196624175388171,-0.328325367266528,0.442427237234876,NA,1.05693221527451,0.243958082016782,0.578783160784146,1.53508126976487,NA,0.153523837697301,0.157710218666924,-0.155582510883807,0.462630186278409,NA,0.920274972062143,0.204002600507662,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.520437222314614,1.32011272180967
19,10,15,25,19,0.191592556209715,0.168933137317986,-0.139510308728896,0.522695421148326,NA,1.2339051331946,0.214077219370445,0.814321493318044,1.65348877307115,NA,7.32248436620455e-05,0.170544380659079,-0.334187619013821,0.334334068701145,NA,0.901020635530028,0.192425309906849,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.523873958398646,1.27816731266141
20,10,15,25,20,0.24412205823413,0.183537169409948,-0.115604183633796,0.603848300102055,NA,1.63876792860212,0.240565870151489,1.16726748719566,2.11026837000857,NA,0.0933653573173469,0.13348717189052,-0.168264691986181,0.354995406620874,NA,1.2815986950129,0.178842873551674,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.931073103959968,1.63212428606583
21,10,15,25,21,0.460959829318202,0.170619135679822,0.126552468312399,0.795367190324006,NA,0.972516443809761,0.211337848303418,0.558301872564873,1.38673101505465,NA,0.391615327485816,0.142192867221534,0.112922428873123,0.67030822609851,NA,0.846273010875041,0.182552278180625,NA,NA,NA,0,0,0.5,1,"0.5 1","-1: 10, 0: 15, +1: 25",0.488477120345279,1.2040689014048
