"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","gamma_shape_sim","gamma_scale_sim","vonMises_kappa_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","gamma_shape_est","gamma_scale_est","vonMises_kappa_est","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","gamma_shape_est_new","gamma_scale_est_new","vonMises_kappa_est_new","deltaAICc"
358,10,10,10,58,0,-1,1,1,1,0.0499228691729471,0.190049865988159,-0.322568023430508,0.422413761776402,TRUE,0.0574582460934939,0.119429777425217,-0.176619816341566,0.291536308528554,TRUE,-0.984804805712054,0.146608749584657,-1.27215267471643,-0.697456936707676,TRUE,1.00494707689745,0.997695847734794,1.02228481799383,0,0,67343.7242395427,67317.5042146773,"0 -1","-1: 10, 0: 10, +1: 10",1.00475130485861,0.998827410759578,1.02450717707909,26.2200248654699
359,10,10,10,59,0,-1,1,1,1,0.0315044131552274,0.206451154186674,-0.37313241361738,0.436141239927835,TRUE,0.0257645600065994,0.105580762688808,-0.181169932323735,0.232699052336934,TRUE,-1.22246390973013,0.130982276086469,-1.47918445347269,-0.965743365987566,TRUE,0.980589564862239,1.00175231399216,1.06953296209559,0,0,67336.738627733,67293.5220064478,"0 -1","-1: 10, 0: 10, +1: 10",0.980650199564554,1.00241795304867,1.0705936919312,43.2166212852317
360,10,10,10,60,0,-1,1,1,1,0.119079450004102,0.193900155183077,-0.260957870751456,0.49911677075966,TRUE,0.110520909850905,0.111458299857314,-0.107933343647496,0.328975163349305,TRUE,-1.06377291861183,0.137251864273692,-1.33278162939924,-0.794764207824412,TRUE,1.003282527516,0.981080269619546,0.992300839185198,0,0,67339.1838255346,67308.4254153032,"0 -1","-1: 10, 0: 10, +1: 10",1.00263674550321,0.982560708819973,0.991815599745572,30.7584102313995
361,10,10,10,61,0,-1,1,1,1,0.154724456234077,0.152043398183907,-0.143275128293464,0.452724040761617,TRUE,0.171279753683387,0.102541186656749,-0.0296972790958399,0.372256786462615,TRUE,-0.885093845825553,0.124914633381836,-1.12992202839598,-0.64026566325513,TRUE,1.00386483245357,0.994130858241827,0.986534782621574,0,0,67366.2992772456,67329.2774967848,"0 -1","-1: 10, 0: 10, +1: 10",1.00510180504845,0.995628750292469,0.987690186189621,37.0217804607964
362,10,10,10,62,0,-1,1,1,1,0.0310142473327333,0.170096217342507,-0.302368212565078,0.364396707230544,TRUE,0.0403212454017118,0.100527941302187,-0.156709898990532,0.237352389793956,TRUE,-0.939542401301733,0.123137983652221,-1.18088841438897,-0.698196388214498,TRUE,1.00215959898699,1.04549009642583,0.972488335255913,0,0,67356.9264260144,67323.2412475543,"0 -1","-1: 10, 0: 10, +1: 10",1.00267973776118,1.04469163741366,0.972843958734343,33.6851784601022
363,10,10,10,63,0,-1,1,1,1,0.0486141952801613,0.145177463334517,-0.235928404222376,0.333156794782699,TRUE,0.0536002701530062,0.102948987475604,-0.148176037544044,0.255376577850056,TRUE,-0.805967997274878,0.125533411703494,-1.05200896307017,-0.55992703147959,TRUE,0.95478967520972,1.05633293423141,1.00749444086449,0,0,67370.936518389,67340.3739630301,"0 -1","-1: 10, 0: 10, +1: 10",0.955598407560547,1.05689935944618,1.00777938682711,30.5625553588616
364,10,10,10,64,0,-1,1,1,1,-0.01157131949438,0.186355451636141,-0.376821293023912,0.353678654035152,TRUE,-0.00853275163394938,0.135263869004173,-0.273645063291672,0.256579560023773,TRUE,-0.841915192572714,0.166114601382985,-1.16749382858959,-0.516336556555836,TRUE,0.989443684640509,1.01747638754556,0.976955418362877,0,0,67350.8834068708,67334.2125963281,"0 -1","-1: 10, 0: 10, +1: 10",0.989889304757057,1.01570875558549,0.977430976652203,16.6708105427388
365,10,10,10,65,0,-1,1,1,1,-0.029263026723715,0.19133358627739,-0.404269964860287,0.345743911412857,TRUE,-0.0442647621763655,0.104127298015007,-0.248350516093248,0.159820991740517,TRUE,-1.09365850645335,0.126689047868227,-1.34196447751074,-0.845352535395951,TRUE,1.0009265650201,0.982108173524572,1.01152096331609,0,0,67345.8883367768,67306.5351476749,"0 -1","-1: 10, 0: 10, +1: 10",1.00152588571701,0.981775860281937,1.01202231081084,39.3531891018501
366,10,10,10,66,0,-1,1,1,1,-0.0256849759174422,0.166170576381831,-0.351373320916094,0.300003369081209,TRUE,-0.0344974266587925,0.102219510749694,-0.234843986245498,0.165849132927913,TRUE,-0.877280156718438,0.125071861842469,-1.12241650140905,-0.632143812027829,TRUE,0.990902936275735,0.998069636934861,1.0378473891013,0,0,67359.3274483268,67332.378826808,"0 -1","-1: 10, 0: 10, +1: 10",0.990766969778563,0.998497139091284,1.03791547644881,26.9486215188081
367,10,10,10,67,0,-1,1,1,1,0.161068340532463,0.169905296901537,-0.171939922177135,0.49407660324206,TRUE,0.137750034949706,0.103123033328766,-0.0643673963511995,0.339867466250612,TRUE,-0.937870865399433,0.125670539081803,-1.1841805959175,-0.691561134881366,TRUE,1.0470450272555,0.945815153594718,0.966284379441074,0,0,67354.7993633187,67322.883522818,"0 -1","-1: 10, 0: 10, +1: 10",1.04684526209496,0.947214489757988,0.965289324028222,31.9158405007038
