"sim","beta_cov_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","converg.mess","AICc_baseline","AICc_new","deltaAICc"
54,0.5,0.504012373636983,0.0231930043216122,0.458554920473341,0.549469826800625,TRUE,0,37731.8382183152,37733.7928134648,1.95459514962567
55,0.5,0.566297536668911,0.0249484757840658,0.517399422662972,0.61519565067485,FALSE,0,37719.1276828408,37721.1277696629,2.00008682208863
56,0.5,0.489023077748968,0.0291849633222157,0.431821600747303,0.546224554750633,TRUE,0,37879.7641009957,37880.6476534078,0.883552412124118
57,0.5,0.539205654109219,0.0296974546301307,0.480999712601651,0.597411595616788,TRUE,0,37875.6270373283,37876.9533958902,1.32635856192792
58,0.5,0.491352425613118,0.0329002390322045,0.426869142027238,0.555835709198998,TRUE,0,37894.5900987685,37896.5160072225,1.92590845400264
59,0.5,0.495482819031588,0.029567578871701,0.437531429333007,0.553434208730169,TRUE,0,37896.9504931273,37897.4772082185,0.526715091174992
60,0.5,0.47342691600799,0.0271076703219998,0.420296858472085,0.526556973543895,TRUE,0,37878.1154019551,37879.8632954442,1.74789348914783
61,0.5,0.520563043676874,0.0307976473671409,0.460200764028713,0.580925323325035,TRUE,0,37936.6016690232,37937.8038698915,1.20220086832705
62,0.5,0.486923528525615,0.0245830074469323,0.438741719297948,0.535105337753282,TRUE,0,37797.4539930262,37799.4147850797,1.96079205349815
63,0.5,0.537895846125914,0.0290551473295907,0.480948803794411,0.594842888457417,TRUE,0,37786.7345316701,37786.0415941368,-0.692937533225631
64,0.5,0.502241344698277,0.036349148969712,0.43099832184896,0.573484367547594,TRUE,0,37978.1228512015,37980.0680590233,1.94520782178733
65,0.5,0.510743696258083,0.0329011613645743,0.446258604933977,0.575228787582189,TRUE,0,37958.4816676334,37956.325066147,-2.15660148640018
66,0.5,0.492900404744358,0.0262203582446256,0.441509446923154,0.544291362565562,TRUE,0,37844.885746391,37846.8054577789,1.91971138786903
67,0.5,0.538515097865235,0.037490932177718,0.465034221050074,0.611995974680396,TRUE,0,37924.8793383932,37926.84766116,1.96832276672649
68,0.5,0.485144121538586,0.0247230871418506,0.436687761153914,0.533600481923258,TRUE,0,37825.2412565862,37827.0131482014,1.77189161520073
69,0.5,0.501840162180801,0.0282825053758474,0.44640747025158,0.557272854110022,TRUE,0,37865.6909273193,37866.1284338074,0.437506488073268
70,0.5,0.462889486228035,0.0313146403381804,0.401513918976376,0.524265053479694,TRUE,0,37989.3785134091,37991.281139857,1.90262644789618
71,0.5,0.489010532289454,0.0293650247064306,0.431456141459721,0.546564923119187,TRUE,0,37914.4142297581,37916.383686406,1.96945664787199
72,0.5,0.528003963948591,0.0312603264234098,0.466734850013742,0.58927307788344,TRUE,0,37922.8408529914,37924.0058753405,1.16502234912332
73,0.5,0.523882019254632,0.0260421289125556,0.472840384505274,0.57492365400399,TRUE,0,37814.5887490602,37815.4436973324,0.85494827223738
74,0.5,0.570168789642221,0.0280441541387779,0.515203257553326,0.625134321731115,FALSE,0,37797.1851824112,37798.7090567477,1.52387433643889
75,0.5,0.511870068488521,0.0271166241853355,0.458722461702956,0.565017675274086,TRUE,0,37860.1892751622,37860.8957329428,0.706457780514029
76,0.5,0.495752457122472,0.0281302357225267,0.440618208229698,0.550886706015246,TRUE,0,37908.7244929797,37910.5918098531,1.86731687339488
