"sim","n_m1","n_0","n_p1","cov.sim.index","beta_cov_sim","beta_cov_proxy_sim","beta_cov_est","beta_cov_SE","beta_cov_95LCI","beta_cov_95UCI","beta_cov_in_95CI","beta_cov_est_new","beta_cov_SE_new","beta_cov_95LCI_new","beta_cov_95UCI_new","beta_cov_in_95CI_new","beta_cov_proxy_est_new","beta_cov_proxy_SE_new","beta_cov_proxy_95LCI_new","beta_cov_proxy_95UCI_new","beta_cov_proxy_in_95CI_new","converg_mess_baseline","converg_mess_new","AICc_baseline","AICc_new","beta_sim_factor","proxy_factor","deltaAICc"
32,15,10,5,32,0.5,1,0.177622441072702,0.1390120283288,-0.0948361278696081,0.450081010015013,NA,0.509296341511258,0.0412864244698008,0.428376436500016,0.590216246522501,NA,0.992329059309997,0.0495163287792156,0.89527883825609,1.0893792803639,NA,0,0,37770.0691939942,37690.6561386585,"0.5 1","-1: 15, 0: 10, +1: 5",79.4130553357318
33,15,10,5,33,0.5,1,0.176635750789225,0.140286077628983,-0.0983199088959714,0.451591410474421,NA,0.511022977040406,0.0303419359483839,0.451553875360352,0.570492078720459,NA,1.00581998112002,0.0378714342977214,0.931593333853611,1.08004662838643,NA,0,0,37444.6918381224,37351.0001151117,"0.5 1","-1: 15, 0: 10, +1: 5",93.6917230107138
34,15,10,5,34,0.5,1,0.157144315607195,0.13835269848201,-0.114021990581474,0.428310621795864,NA,0.490283857413192,0.0326350757200133,0.426320284369228,0.554247430457155,NA,0.996586816978946,0.0403170362101971,0.917566878043563,1.07560675591433,NA,0,0,37639.0789322502,37542.385255719,"0.5 1","-1: 15, 0: 10, +1: 5",96.6936765311839
35,15,10,5,35,0.5,1,0.141675024447927,0.130619369298004,-0.114334235059498,0.397684283955352,NA,0.458322827083441,0.0326914225524791,0.394248816277202,0.522396837889681,NA,0.937922136299187,0.0405109191030727,0.858522193876549,1.01732207872183,NA,0,0,37684.8605514916,37596.1147868033,"0.5 1","-1: 15, 0: 10, +1: 5",88.7457646883049
36,15,10,5,36,0.5,1,0.106498337942835,0.135072143800138,-0.158238199220051,0.37123487510572,NA,0.429741953909282,0.0339280165049647,0.363244263492671,0.496239644325893,NA,0.964724205169786,0.0419966555349965,0.882412272850058,1.04703613748951,NA,0,0,37597.0500469975,37509.5642522494,"0.5 1","-1: 15, 0: 10, +1: 5",87.4857947480778
37,15,10,5,37,0.5,1,0.211148122117999,0.152655784886538,-0.0880517182913096,0.510347962527308,NA,0.566046062045399,0.037444487471185,0.492656215182316,0.639435908908483,NA,1.08178570787168,0.0473008457024835,0.989077753856531,1.17449366188684,NA,0,0,37134.3102117198,37048.4229750028,"0.5 1","-1: 15, 0: 10, +1: 5",85.8872367170188
38,15,10,5,38,0.5,1,0.142725123622114,0.138798932919232,-0.129315785992171,0.414766033236399,NA,0.472821921729369,0.0339880583311131,0.40620655149594,0.539437291962797,NA,0.992421665851318,0.0421763516568423,0.909757535604611,1.07508579609803,NA,0,0,37703.1645874981,37611.5816410506,"0.5 1","-1: 15, 0: 10, +1: 5",91.5829464474737
39,15,10,5,39,0.5,1,0.112472129469364,0.138631747662704,-0.15924110306338,0.384185362002108,NA,0.442887839195159,0.0327157947622015,0.37876605973564,0.507009618654678,NA,0.987758405121395,0.0408088940538475,0.907774442526943,1.06774236771585,NA,0,0,37585.3077740708,37495.6399062192,"0.5 1","-1: 15, 0: 10, +1: 5",89.6678678516691
40,15,10,5,40,0.5,1,0.164761187689635,0.142624891176704,-0.114778462315649,0.44430083769492,NA,0.502437695546754,0.0324980652884204,0.438742658014219,0.566132733079289,NA,1.01580765982422,0.0406255249548025,0.936183094059773,1.09543222558866,NA,0,0,37576.5115132187,37481.9199095652,"0.5 1","-1: 15, 0: 10, +1: 5",94.59160365344
41,15,10,5,41,0.5,1,0.164433844933503,0.1395896242871,-0.10915679128469,0.438024481151696,NA,0.500308340053274,0.0338598426228826,0.43394426799023,0.566672412116318,NA,1.0065080500102,0.0401407597858026,0.927833606517949,1.08518249350244,NA,0,0,37653.9192184565,37556.4597550272,"0.5 1","-1: 15, 0: 10, +1: 5",97.4594634292807
42,15,10,5,42,0.5,1,0.215035789433448,0.138220056744224,-0.0558705437263132,0.485942122593209,NA,0.547749358476161,0.0308510009133358,0.487282507799011,0.608216209153312,NA,0.996828996294933,0.036430858270882,0.925425826158121,1.06823216643174,NA,0,0,37527.6482448252,37425.07150248,"0.5 1","-1: 15, 0: 10, +1: 5",102.576742345198
